case_folding,tokenizing
aldapstsr oh itu anaknya anies  emang cantik banget  senyumnya apalagi,"['aldapstsr', 'oh', 'itu', 'anaknya', 'anies', 'emang', 'cantik', 'banget', 'senyumnya', 'apalagi']"
anies selalu berkomitmen untuk mewujudkan perubahan positif demi kebaikan masyarakatnya dan negaranya,"['anies', 'selalu', 'berkomitmen', 'untuk', 'mewujudkan', 'perubahan', 'positif', 'demi', 'kebaikan', 'masyarakatnya', 'dan', 'negaranya']"
kemenangan anies di gub dki  di klaim penuh oleh prabowo dan gerindra  baik dari dukungan dan modal logistik  menurut  andre rosiade sungguh kesombongan  dengan menghilangkan jasa  dari partai  lain  relawan  dan rakyat dki di pilgub dki  mereka lebih berjasa,"['kemenangan', 'anies', 'di', 'gub', 'dki', 'di', 'klaim', 'penuh', 'oleh', 'prabowo', 'dan', 'gerindra', 'baik', 'dari', 'dukungan', 'dan', 'modal', 'logistik', 'menurut', 'andre', 'rosiade', 'sungguh', 'kesombongan', 'dengan', 'menghilangkan', 'jasa', 'dari', 'partai', 'lain', 'relawan', 'dan', 'rakyat', 'dki', 'di', 'pilgub', 'dki', 'mereka', 'lebih', 'berjasa']"
selama masa jabatannya sebagai gubernur  anies  telah memimpin berbagai proyekpembangunan untuk kesejahteraan rakyatnya,"['selama', 'masa', 'jabatannya', 'sebagai', 'gubernur', 'anies', 'telah', 'memimpin', 'berbagai', 'proyek', 'pembangunan', 'untuk', 'kesejahteraan', 'rakyatnya']"
anies baswedan mengajak warganya untuk menunjukkan kekuatan bangsa dengan semangat perjuangan,"['anies', 'baswedan', 'mengajak', 'warganya', 'untuk', 'menunjukkan', 'kekuatan', 'bangsa', 'dengan', 'semangat', 'perjuangan']"
pemikiran anies dalam debat perdananya tidak sedikit yang mampu menciptakan perubahan positif di masyarakat,"['pemikiran', 'anies', 'dalam', 'debat', 'perdananya', 'tidak', 'sedikit', 'yang', 'mampu', 'menciptakan', 'perubahan', 'positif', 'di', 'masyarakat']"
ndaphie ekowboy  anies angkat alis nggak ada dan nggak pernah yg ada itu menggunakan fakedeep aidasar para buzzer polri sukanya buat fitnah,"['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'nggak', 'ada', 'dan', 'nggak', 'pernah', 'yg', 'ada', 'itu', 'menggunakan', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'sukanya', 'buat', 'fitnah']"
anies jd gubernur dan ikut pilpres krn ada prabowo anies dicalonkan nasdem apa salahnya  nasdem jeli krn negara butuh sosok seperti anies dan rakyat ingin perubahan untuk keadilan sosial bagi seluruh rakyat indonesia,"['anies', 'jd', 'gubernur', 'dan', 'ikut', 'pilpres', 'krn', 'ada', 'prabowo', 'anies', 'dicalonkan', 'nasdem', 'apa', 'salahnya', 'nasdem', 'jeli', 'krn', 'negara', 'butuh', 'sosok', 'seperti', 'anies', 'dan', 'rakyat', 'ingin', 'perubahan', 'untuk', 'keadilan', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia']"
dengan berbagai inisiatifnya dalam mengembangkan jakarta  anies telah menjadi contoh nyata bagi banyak orang,"['dengan', 'berbagai', 'inisiatifnya', 'dalam', 'mengembangkan', 'jakarta', 'anies', 'telah', 'menjadi', 'contoh', 'nyata', 'bagi', 'banyak', 'orang']"
kumparan  aniesbaswedan ordal anies profesional dan berintegritas,"['kumparan', 'aniesbaswedan', 'ordal', 'anies', 'profesional', 'dan', 'berintegritas']"
paltiwest  dee anies baswedan dan muhaimin iskandar dong untuk indonesia lebih baik,"['paltiwest', 'dee', 'anies', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'dong', 'untuk', 'indonesia', 'lebih', 'baik']"
dalam debat  ada banyak buah pemikiran anies yang pada akhirnya memang benar benar bermanfaat untuk pencerdasan warga negara,"['dalam', 'debat', 'ada', 'banyak', 'buah', 'pemikiran', 'anies', 'yang', 'pada', 'akhirnya', 'memang', 'benar', 'benar', 'bermanfaat', 'untuk', 'pencerdasan', 'warga', 'negara']"
saludosparatii  fullmoonfolks udah rahasia umum lah  ga usah ditutupi bagaimana anies menikmati politik identitas ini  dia betul betul ambil untung,"['saludosparatii', 'fullmoonfolks', 'udah', 'rahasia', 'umum', 'lah', 'ga', 'usah', 'ditutupi', 'bagaimana', 'anies', 'menikmati', 'politik', 'identitas', 'ini', 'dia', 'betul', 'betul', 'ambil', 'untung']"
anies baswedan dituding capres banyak janji  timnas amin  janji kita terukur,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'kita', 'terukur']"
raden mas budi  heraloebss hanya org cerdas yg paham apa yg disampaikan pak anies tapi klo otaknya cetek  males mikir  pasti penilaiannya njelimet ,"['raden', 'mas', 'budi', 'heraloebss', 'hanya', 'org', 'cerdas', 'yg', 'paham', 'apa', 'yg', 'disampaikan', 'pak', 'anies', 'tapi', 'klo', 'otaknya', 'cetek', 'males', 'mikir', 'pasti', 'penilaiannya', 'njelimet']"
tidak bicara sesuai fakta  anies dengan lantang sebut lampung tidak mempunyai alat pemantau polusi udara gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['tidak', 'bicara', 'sesuai', 'fakta', 'anies', 'dengan', 'lantang', 'sebut', 'lampung', 'tidak', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
prabowo sindir anies baswedan  apbd paling besar  tapi kok mas anies gagal memimpin jakarta gacoan anies gempa daesang pagii batter up views pilihan terbaik,"['prabowo', 'sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'tapi', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', 'views', 'pilihan', 'terbaik']"
