formalization,stopword_removal
"['anies', 'selalu', 'komitmen', 'untuk', 'wujud', 'ubah', 'positif', 'demi', 'baik', 'masyarakat', 'dan', 'negara']",anies komitmen wujud ubah positif masyarakat negara
"['menang', 'anies', 'di', 'gub', 'dki', 'di', 'klaim', 'penuh', 'oleh', 'prabowo', 'dan', 'gerindra', 'baik', 'dari', 'dukung', 'dan', 'modal', 'logistik', 'turut', 'andre', 'rosiade', 'sungguh', 'sombong', 'dengan', 'hilang', 'jasa', 'dari', 'partai', 'lain', 'rawan', 'dan', 'rakyat', 'dki', 'di', 'pilgub', 'dki', 'mereka', 'lebih', 'jasa']",menang anies gub dki klaim penuh prabowo gerindra dukung modal logistik andre rosiade sungguh sombong hilang jasa partai rawan rakyat dki pilgub dki jasa
"['lama', 'masa', 'jabat', 'bagai', 'gubernur', 'anies', 'telah', 'pimpin', 'bagai', 'proyek', 'bangun', 'untuk', 'sejahtera', 'rakyat']",jabat gubernur anies pimpin proyek bangun sejahtera rakyat
"['anies', 'baswedan', 'ajak', 'warga', 'untuk', 'tunjuk', 'kuat', 'bangsa', 'dengan', 'semangat', 'juang']",anies baswedan ajak warga kuat bangsa semangat juang
"['pikir', 'anies', 'dalam', 'debat', 'perdana', 'tidak_sedikit', 'yang', 'mampu', 'cipta', 'ubah', 'positif', 'di', 'masyarakat']",pikir anies debat perdana tidak sedikit cipta ubah positif masyarakat
"['ndaphie', 'ekowboy', 'anies', 'angkat', 'alis', 'tidak', 'ada', 'dan', 'tidak', 'pernah', 'yang', 'ada', 'itu', 'guna', 'fakedeep', 'aidasar', 'para', 'buzzer', 'polri', 'suka', 'buat', 'fitnah']",ndaphie ekowboy anies angkat alis fakedeep aidasar buzzer polri suka fitnah
"['anies', 'jadi', 'gubernur', 'dan', 'ikut', 'pilpres', 'karena', 'ada', 'prabowo', 'anies', 'calon', 'nasdem', 'apa', 'salah', 'nasdem', 'jeli', 'karena', 'negara', 'butuh', 'sosok', 'seperti', 'anies', 'dan', 'rakyat', 'ingin', 'ubah', 'untuk', 'adil', 'sosial', 'bagi', 'seluruh', 'rakyat', 'indonesia']",anies gubernur pilpres prabowo anies calon nasdem salah nasdem jeli negara butuh sosok anies rakyat ubah adil sosial rakyat indonesia
"['dengan', 'bagai', 'inisiatif', 'dalam', 'kembang', 'jakarta', 'anies', 'telah', 'jadi', 'contoh', 'nyata', 'bagi', 'banyak', 'orang']",inisiatif kembang jakarta anies contoh nyata orang
"['kumpar', 'aniesbaswedan', 'ordal', 'anies', 'profesional', 'dan', 'integritas']",kumpar aniesbaswedan ordal anies profesional integritas
"['paltiwest', 'dee', 'anies', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'dong', 'untuk', 'indonesia', 'lebih', 'baik']",paltiwest dee anies baswedan muhaimin iskandar indonesia
"['dalam', 'debat', 'ada', 'banyak', 'buah', 'pikir', 'anies', 'yang', 'pada', 'akhir', 'memang', 'benar', 'benar', 'manfaat', 'untuk', 'cerdas', 'warga', 'negara']",debat buah pikir anies manfaat cerdas warga negara
