formalization,stopword_removal
"['prabowo', 'aku', 'sosok', 'pimpin', 'daulat', 'untuk', 'indonesia', 'owt', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",prabowo sosok pimpin daulat indonesia owt pdemokrat agusyudhoyono demokrat bareng ahy
"['prabowo', 'ganjar', 'anis', 'hanya', 'prediksi']",prabowo ganjar anis prediksi
"['partaisocmed', 'prabowo', 'karena', 'tidak_tahan', 'goda', 'akhir', 'turun', 'kasta', 'juga', 'diri']",partaisocmed prabowo tidak tahan goda turun kasta
"['omank', 'fyibrow', 'indievdumerdeka', 'pak', 'bisa', 'tidak_fokus', 'tidak_cuma', 'di', 'food', 'estate', 'saja', 'banyak', 'kerja', 'prabowo', 'yang', 'bagus', 'tidak_pernah', 'di', 'lihat', 'saya', 'kasih', 'fakta', 'deh', 'biar', 'tidak_cuma', 'salah', 'program', 'saja', 'teliti', 'prestasi', 'jadi', 'menhan', 'prabowo', 'paling', 'kompeten', 'pimpin', 'ri', 'news']",omank fyibrow indievdumerdeka tidak fokus tidak cuma food estate kerja prabowo bagus tidak pernah lihat kasih fakta deh biar tidak cuma salah program teliti prestasi menhan prabowo kompeten pimpin ri news
"['baca', 'berita', 'detik', 'ini', 'aku', 'jadi', 'ketawa', 'kalau', 'pihak', 'yang', 'ada', 'backingannya', 'pak', 'lurah', 'bisa', 'ngeyel', '', 'amp', 'nyalahin', 'panitia', 'milu', 'alias', 'kpu', 'dan', 'kpu', 'nya', 'diam', 'saja', 'bahkan', 'ngikutin', 'mereka', 'wakil', 'ketua', 'tim', 'kampanye', 'nasional', 'tkn', 'prabowo', 'subianto', 'gibran', 'rakabuming', 'raka', 'habiburokhman', 'bela']",baca berita detik ketawa backingannya lurah ngeyel  amp nyalahin panitia milu alias kpu kpu nya diam ngikutin wakil ketua tim kampanye nasional tkn prabowo subianto gibran rakabuming raka habiburokhman bela
"['kompastv', 'lah', 'yang', 'bilang', 'pembimbing akademik', 'prabowo', 'sendiri', 'kan', 'bang', 'anies', 'cuma', 'niru', 'beli', 'ko']",kompastv bilang pembimbing akademik prabowo bang anies niru beli ko
"['abah', 'itu', 'karena', 'pak', 'anies', 'ada', 'modal', 'jual', 'plak', 'masa', 'gin', 'saja', 'tidak_paham', 'ingat', 'pak', 'anies', 'tidak_orang', 'partai', 'plak', 'jadi', 'iya', 'kenapa', 'prabowo', 'panggil', 'ajak', 'pak', 'anies', 'kan', 'pks', 'yang', 'bawa', 'terus', 'pak', 'prabowo', 'nyodorin', 'unno', 'kan', 'bukti', 'menang', 'di', 'pilgub', 'dki', 'masa', 'gin', 'saja', 'tidak_mengerti']",abah anies modal jual plak gin tidak paham anies tidak orang partai plak iya prabowo panggil ajak anies pks bawa prabowo nyodorin unno bukti menang pilgub dki gin tidak mengerti
"['mhermawanb', 'partaisocmed', 'aniesbaswedan', 'prabowo', 'mana', 'saja', 'bang', 'wkwkwk']",mhermawanb partaisocmed aniesbaswedan prabowo bang wkwkwk
"['usai', 'gabung', 'kim', 'elektabilitas', 'demokrat', 'dan', 'prabowo', 'kian', 'tingkat', '', 'pdemokrat', 'agusyudhoyono', 'demokrat', 'bareng', 'ahy']",gabung kim elektabilitas demokrat prabowo kian tingkat  pdemokrat agusyudhoyono demokrat bareng ahy
"['keluarga', 'mk', 'bismilah', 'saja', 'yok', 'masdar', 'bahwa', 'indonesia', 'bisa', 'di', 'pimpin', 'oleh', 'prabowo', 'gibran', 'iya', 'laksanakan', 'selalu', 'yok', 'bisa', 'yokk']",keluarga mk bismilah yok masdar indonesia pimpin prabowo gibran iya laksanakan yok yokk
"['prabowo', 'main', 'isu', 'pki', 'lebih', 'dari', 'dar', 'politik', 'identitas', 'masalah', 'orang', 'indonesia', 'masih', 'banyak', 'yang', 'asumsi', 'komunis', 'adalah', 'konsep', 'teologi', 'tidak_ideologi', 'mudarat', 'lagi', 'selain', 'buka', 'lembar', 'luka', 'sejarah', 'juga', 'para', 'dukung', 'yang', 'tika', 'saling', 'umbar', 'aib', 'bapak', 'bangsa']",prabowo main isu pki dar politik identitas orang indonesia asumsi komunis konsep teologi tidak ideologi mudarat buka lembar luka sejarah dukung tika umbar aib bangsa
"['yanua', 'eko', 'oke', 'haekalrast', 'hariqosatria', 'dahnilanzar', 'saya', 'bicara', 'prabowo', 'bagai', 'tum', 'partai', 'tokoh', 'dan', 'capres', 'bicara', 'partai', 'arti', 'tentang', 'politik', 'seluruh', 'partai politik', 'muara', 'adalah', 'kuasa', 'dan', 'tentu', 'prabowo', 'gabung', 'perintah', 'adalah', 'strategi', 'gerindra', 'skala', 'nasional', 'dan', 'internasional']",yanua eko oke haekalrast hariqosatria dahnilanzar bicara prabowo tum partai tokoh capres bicara partai arti politik partai politik muara kuasa prabowo gabung perintah strategi gerindra skala nasional internasional
"['micheladam', 'dhemith', 'pak', 'prabowo', 'julur', 'lidah', 'itu', 'tidak_edit', 'gemoygebrakan', 'monyet']",micheladam dhemith prabowo julur lidah tidak edit gemoygebrakan monyet
"['yulianidiya', 'prabowo', 'gibran', 'tidak_cuma', 'pasang', 'tapi', 'solusi', 'buat', 'pilih', 'bimbang', 'dekade']",yulianidiya prabowo gibran tidak cuma pasang solusi pilih bimbang dekade
"['dennyindrayana', 'cemberut', 'pak', 'sby', 'seperti', 'males', 'kemarin', 'waktu', 'bareng', 'sama', 'pak', 'prabowo', 'di', 'gunung', 'tidar', 'lihat', 'sumringah', 'dan', 'semangat', 'banget', 'awokkwokkwokk']",dennyindrayana cemberut sby males kemarin bareng prabowo gunung tidar lihat sumringah semangat banget awokkwokkwokk
